APPLE,GOOGLE,MICROSOFT,IBM,AMAZON,BAIDU,ALIBABA,HUAWEI,SINA,JDCOM
157.48,914.39,72.5,141.84,967.99,223.49,151.7,67.19,95.29,45.9
159.85,922.67,73.59,142.32,983.3,223.69,154.61,67.67,98.91,44.25
161.6,922.22,73.22,142.07,982.74,225.33,157.75,67.6937,96.75,44.05
160.95,926.96,73.65,142.5,978.18,226.14,159.5,67.82,98.75,43.65
157.86,910.98,72.4,140.7,960.57,221.05,163.92,66.95,98.16,40.8
157.5,910.67,72.49,139.7,958.47,220.69,167.5,66.862,98.4,40.13
157.21,906.66,72.15,140.33,953.29,222.48,169.25,66.815,99.23,41.26
159.78,924.69,73.16,141.01,966.9,226.11,174.46,67.48,100.87,42.15
159.98,927,72.72,142.14,958,224.99,175.8,67.43,103.86,42.44
159.27,921.28,72.69,142.94,952.45,224.86,175,67.269,103.92,42.07
159.86,915.89,72.82,143.74,945.26,225.55,171.74,67.465,100.68,40.87
161.47,913.81,72.83,142.51,946.02,219.99,168.3,67.3496,98.09,40.35
162.91,921.29,73.05,143.14,954.06,220.69,167.41,67.33,98.07,40.84
163.35,929.57,74.01,142.56,967.59,223.88,171.25,67.65,99.45,41.94
164,939.33,74.77,143.03,980.6,228.05,171.74,68.06,101.83,41.91
164.05,937.34,73.94,144.08,978.25,232.64,171.04,68.35,106.66,41.99
162.08,928.45,73.61,143.04,965.27,225.3,169.92,67.8663,105.84,41.4
161.91,927.81,73.4,143.82,967.8,226.97,168.14,68.048,108.39,41.64
161.26,935.95,74.34,142.9,979.47,233.18,170.48,68.33,112.02,41.83
158.63,926.5,73.98,142.45,965.9,229.23,169,68.1866,111.16,41.15
161.5,929.08,74.76,144.86,977.96,233.5,174.06,68.88,113.97,42.04
160.86,932.07,74.68,145.76,982.58,237.6,175.31,69.2834,116.45,43.29
159.65,935.09,75.21,145.99,999.6,236.41,178.97,69.24,117.08,45.27
158.28,925.11,74.77,145.54,992.21,237.33,177.1,69.25,117.42,45.25
159.88,920.29,75.31,144.82,986.79,235.21,176.7,69.09,116.33,44.91
158.67,915,75.16,144.55,974.19,239.07,179.98,69.18,115.06,44.74
158.73,921.81,75.44,144.39,969.86,237.85,180.07,69.29,117.03,44.33
156.07,931.58,74.94,145.88,973.21,237.96,177.95,69.37,116.59,44.44
153.39,932.45,74.21,145.26,964.65,238.92,177.39,69.23,115.41,42.98
151.89,928.53,74.41,145.13,955.1,240.57,178.14,69.29,115.68,42.37
150.55,920.97,73.26,145.87,939.79,234.49,169.59,69.1751,111.57,40.93
153.14,924.86,73.26,146.56,938.6,236.19,167.02,69.17,112.87,40.32
154.23,944.49,73.85,145.66,950.87,239.82,170.99,69.35,114.37,39.71
153.28,949.5,73.87,145.66,956.4,241.28,170.24,69.46,113.46,38.65
154.12,959.11,74.49,145.08,961.35,247.69,172.71,69.6,114.65,38.2
153.81,953.27,74.61,146.66,959.19,248.67,173.61,69.83,115.86,39.1
154.48,957.79,74.26,146.78,957.1,247,178.56,70.1,118.67,39.21
153.48,951.68,74.69,146.48,965.45,243.97,178.71,70.16,116.5,38.34
155.39,969.96,75.97,146.72,980.85,245.27,178.89,70.3963,116.05,39.14
155.3,978.89,76,146.48,989.58,247.69,179.2,70.29,115.27,39.24
155.84,977,76.29,147.39,990.99,252.22,182.09,70.24,113.74,38.91
155.9,972.6,76.29,148.5,987.2,262.41,183.12,70.391,111.99,40.17
156.55,989.25,76.42,148.04,995,260.32,183.62,70.391,113.93,39.62
156,987.83,77.12,147.03,1000.93,259.33,180.53,70.54,114.96,38.51
156.99,989.68,77.49,147.1,1002.94,262.68,178.45,70.52,116.59,38.72
159.88,992,77.65,146.83,1006.34,272.82,179.56,70.305,114.99,39.67
160.47,992.18,77.59,146.54,1009.13,270.32,175.32,70.3801,114.26,39.59
159.76,992.81,77.61,159.53,997,268.97,179.61,70.73,114.89,40.32
155.98,984.45,77.91,160.9,986.61,264.52,177.93,70.78,111.6,39.38
156.25,988.2,78.81,162.07,982.91,264.9,177.32,71.292,110.48,39
156.17,968.45,78.83,159.55,966.3,266.13,173.13,71.08,111.09,38.43
157.1,970.54,78.86,155.88,975.9,264,173.7,70.919,110.62,38.52
156.41,973.33,78.63,153.5,972.91,263.04,170.22,70.5089,107.78,37.4
157.41,972.56,78.76,153.6,972.43,260.62,170.32,70.51,105.39,36.81
163.05,1019.27,83.81,153.68,1100.95,239.37,176.15,70.62,105,37.36
166.72,1017.11,83.89,154.36,1110.85,236.42,181.58,70.342,105.37,37.42
169.04,1016.64,83.18,154.06,1105.28,243.94,184.89,70.43,107.65,37.52
166.89,1025.5,83.18,154.03,1103.68,245.43,186.08,70.584,113.13,37.86
168.11,1025.58,84.05,153.35,1094.22,242.09,184.81,70.69,108.34,37.88
172.5,1032.48,84.14,151.58,1111.6,241.54,183.21,70.84,109.46,38.42
174.25,1025.9,84.47,150.84,1120.66,244.53,187.84,70.8732,110.03,39.01
174.81,1033.33,84.27,151.35,1123.17,243.47,188.51,70.91,103,39.79
176.24,1039.85,84.56,151.57,1132.88,241.18,185.9,70.85,107.61,40.33
175.88,1031.26,84.09,150.3,1129.13,240.06,185.13,70.57,106.79,39.8
174.67,1028.07,83.87,149.16,1125.35,237.4,186.41,70.729,105.84,39.96
173.97,1025.75,83.93,148.4,1129.17,237.37,184.54,70.89,106.15,41.34
171.34,1026,84.05,148.89,1136.84,234.92,181.79,70.75,106.5,38.9
169.08,1020.91,82.98,147.1,1126.69,234.21,181.48,70.498,104.25,39.35
